Year-Month,no_of_rainy_days,total_rainfall,maximum_rainfall_in_a_day,rh_extremes_minimum,mean_sunshine_hrs,mean_temp,Fatalities
2000-02-01,18,237.8,39.9,58,5.8,26.6,
2000-03-01,15,238.3,37.9,44,5.8,27.2,
2000-04-01,20,311.6,87.4,54,5.3,27.5,
2000-05-01,10,96.8,36.7,49,6.8,28.6,
2000-06-01,16,157.5,41.7,53,4.6,27.6,
2000-07-01,12,116.1,34.6,56,6.5,28.1,
2000-08-01,18,113.5,28.1,46,5.1,27.5,
2000-09-01,12,81.1,25.7,48,6.2,28.0,
2000-10-01,14,120.9,38.3,51,4.0,27.8,
2000-11-01,21,385.7,72.0,47,3.7,27.3,
2000-12-01,18,236.0,45.8,60,4.2,27.0,
2001-01-01,21,425.8,125.4,49,4.4,26.5,
2001-02-01,11,86.6,28.2,58,4.8,27.0,
2001-03-01,20,297.3,41.1,50,5.4,27.5,
2001-04-01,18,203.3,68.9,50,5.3,27.7,
2001-05-01,12,164.9,56.1,57,6.0,28.5,
2001-06-01,11,137.1,49.6,49,4.9,28.2,
2001-07-01,9,111.3,44.8,50,8.1,28.4,
2001-08-01,14,158.3,36.6,50,4.9,28.0,
2001-09-01,13,162.0,74.3,54,6.2,28.0,
2001-10-01,20,252.2,77.2,47,4.4,27.6,
2001-11-01,15,175.3,102.6,54,3.7,27.2,
2001-12-01,20,609.0,211.1,55,4.5,26.7,
2002-01-01,11,221.2,83.8,49,6.9,27.0,
2002-02-01,2,50.8,41.7,53,7.4,27.3,
2002-03-01,8,55.6,26.4,40,7.6,28.2,
2002-04-01,13,116.5,39.4,50,6.6,28.6,
2002-05-01,13,236.6,75.9,52,6.2,28.9,
2002-06-01,12,83.1,45.8,56,6.3,28.7,
2002-07-01,11,233.7,69.5,56,6.8,28.4,
2002-08-01,14,54.2,17.8,50,6.7,28.5,
2002-09-01,9,124.2,38.9,49,5.5,28.1,
2002-10-01,7,10.8,3.2,42,6.2,28.7,
2002-11-01,15,307.2,84.0,56,4.6,27.4,
2002-12-01,24,255.0,38.6,56,4.8,27.2,
2003-01-01,20,444.2,194.4,56,4.7,26.7,
2003-02-01,13,172.9,82.2,55,5.8,27.1,
2003-03-01,11,154.6,38.3,54,6.9,28.1,
2003-04-01,20,159.9,42.9,48,5.1,27.9,
2003-05-01,11,81.8,33.0,45,5.8,29.2,
2003-06-01,12,50.3,23.2,36,7.0,28.9,
2003-07-01,14,170.4,30.9,54,5.6,28.1,
2003-08-01,13,193.6,64.4,48,6.1,28.2,
2003-09-01,15,205.3,60.0,46,5.0,27.6,
2003-10-01,21,351.4,56.6,54,5.1,27.6,
2003-11-01,19,133.8,41.3,56,4.2,27.1,
2003-12-01,17,273.0,92.1,60,3.9,26.5,
2004-01-01,13,600.9,177.8,57,6.7,26.9,
2004-02-01,4,31.9,19.2,51,7.7,27.6,
2004-03-01,16,269.4,122.8,56,4.8,27.7,
2004-04-01,9,57.1,18.1,46,7.0,28.9,
2004-05-01,13,137.6,73.4,51,6.0,28.9,
2004-06-01,8,127.2,68.1,49,6.3,29.0,
2004-07-01,20,166.6,34.3,56,4.2,27.3,
2004-08-01,8,185.2,111.5,47,7.3,28.3,
2004-09-01,14,128.9,29.1,50,5.9,27.8,
2004-10-01,13,125.6,25.3,43,5.0,27.8,
2004-11-01,15,166.2,62.4,56,5.8,27.3,
2004-12-01,14,139.8,36.4,58,4.9,26.8,
2005-01-01,8,163.2,96.7,49,6.5,26.6,
2005-02-01,3,8.4,7.2,45,9.1,28.5,
2005-03-01,12,82.4,20.5,47,7.2,28.5,
2005-04-01,10,81.7,49.6,42,7.0,28.7,
2005-05-01,20,331.1,58.7,47,5.5,28.5,
2005-06-01,15,82.3,27.6,50,5.4,28.8,
